,cluster_id,size,avg_intra_cluster_pairwise_distance,avg_intra_cluster_variance,avg_silhouette_score,avg_inter_centroid_distance,model,task
0,F.Asian.Explicit.Direct,200,0.39473339953562797,0.2797890669592493,0.037240785391948285,0.3646503467548574,gemma-3-27b-it,self_description
1,F.Asian.Explicit.Interview,39,0.29421625646268146,0.20445478528477304,-0.04959549572523887,0.38407048117085546,gemma-3-27b-it,self_description
2,F.Asian.Explicit.Third Person,200,0.42604909170700256,0.3037783699345233,-0.060544177481108144,0.3459215199063076,gemma-3-27b-it,self_description
3,F.Asian.Name.Direct,200,0.37902048475709027,0.2691158584053118,-0.009422450840717609,0.3459113264220342,gemma-3-27b-it,self_description
4,F.Asian.Name.Interview,67,0.4512383060075398,0.32500440719596,-0.14699363608821062,0.4384259744054416,gemma-3-27b-it,self_description
5,F.Asian.Name.Third Person,200,0.38361529436818104,0.2709076288249762,-0.0008343683609336297,0.3278462272617712,gemma-3-27b-it,self_description
6,F.Asian.Structured.Direct,200,0.36000884460916593,0.25535941740120877,0.020341099265018817,0.34396522198112023,gemma-3-27b-it,self_description
7,F.Asian.Structured.Interview,25,0.34907476338898163,0.24429405717980096,-0.15432806789980938,0.3897438078135212,gemma-3-27b-it,self_description
8,F.Asian.Structured.Third Person,200,0.3652827729017056,0.2639191766772281,0.021533873592159313,0.35449608241959807,gemma-3-27b-it,self_description
9,F.Black.Explicit.Direct,200,0.26628158714934164,0.18680176682177263,0.12872798264974056,0.37356742085045874,gemma-3-27b-it,self_description
10,F.Black.Explicit.Interview,77,0.27254063318531224,0.19239673961475862,0.026664447888648444,0.3763173547703153,gemma-3-27b-it,self_description
11,F.Black.Explicit.Third Person,200,0.3093919884816029,0.21943207786955976,-0.011412337134259813,0.36636552002685446,gemma-3-27b-it,self_description
12,F.Black.Name.Direct,200,0.38899726881933167,0.2755204151449719,-0.02089281669520874,0.3337740892212421,gemma-3-27b-it,self_description
13,F.Black.Name.Interview,75,0.46616296101413984,0.3362834967178438,-0.16301047215603517,0.41721285967973776,gemma-3-27b-it,self_description
14,F.Black.Name.Third Person,200,0.4050881161297047,0.2860513459190661,-0.045540125442533996,0.3173231790504808,gemma-3-27b-it,self_description
15,F.Black.Structured.Direct,200,0.2803719755653903,0.1974680121235911,0.11506659686476109,0.3535348211005904,gemma-3-27b-it,self_description
16,F.Black.Structured.Interview,63,0.2693077335689502,0.19002258114848486,0.03200990586610426,0.39496344000303363,gemma-3-27b-it,self_description
17,F.Black.Structured.Third Person,200,0.34322879133610645,0.2491249517337458,-0.01565887476125161,0.3495447214927594,gemma-3-27b-it,self_description
18,F.Hispanic.Explicit.Direct,200,0.3589265558087474,0.2566628672626698,-0.007115339626493938,0.388863735532457,gemma-3-27b-it,self_description
19,F.Hispanic.Explicit.Interview,98,0.2869770532806214,0.2007344068583186,-0.04150139953623638,0.36717120760612953,gemma-3-27b-it,self_description
20,F.Hispanic.Explicit.Third Person,200,0.32374992619747983,0.22939901699684742,0.14436662120606097,0.4478475746380167,gemma-3-27b-it,self_description
21,F.Hispanic.Name.Direct,200,0.35847183742773137,0.25429941210705825,0.06744194304003256,0.3632142646492258,gemma-3-27b-it,self_description
22,F.Hispanic.Name.Interview,113,0.41143072895265886,0.302154781013088,-0.0673134387294865,0.45178418267286613,gemma-3-27b-it,self_description
23,F.Hispanic.Name.Third Person,200,0.3886039074602615,0.2753179655444255,-0.028898916431643093,0.3379022617486631,gemma-3-27b-it,self_description
