Role Adoption,Demographic Priming,gender,race,prompt_version,model,task,% English,% Non-\nEnglish,is Hispanic
Direct,Explicit,F,Hispanic,v1,gemma-3-27b-it,SD,0.75,0.25,Hispanic
Direct,Explicit,F,Hispanic,v2,Llama-3.1-8B-Instruct,Bio,0.57,0.43000000000000005,Hispanic
Direct,Explicit,F,Hispanic,v2,Llama-3.1-8B-Instruct,SD,0.74,0.26,Hispanic
Direct,Explicit,F,Hispanic,v2,Llama-3.3-70B-Instruct,Bio,0.64,0.36,Hispanic
Direct,Explicit,F,Hispanic,v2,Llama-3.3-70B-Instruct,SD,1.0,0.0,Hispanic
Direct,Explicit,F,Hispanic,v2,OLMo-2-0325-32B-Instruct,Bio,0.30303030303030304,0.696969696969697,Hispanic
Direct,Explicit,F,Hispanic,v2,OLMo-2-0325-32B-Instruct,SD,0.0,1.0,Hispanic
Direct,Explicit,F,Hispanic,v2,OLMo-2-1124-7B-Instruct,Bio,0.41,0.5900000000000001,Hispanic
Direct,Explicit,F,Hispanic,v2,OLMo-2-1124-7B-Instruct,SD,0.31,0.69,Hispanic
Direct,Explicit,F,Hispanic,v2,gemma-3-27b-it,Bio,0.82,0.18000000000000005,Hispanic
Direct,Explicit,F,Hispanic,v2,gemma-3-27b-it,SD,1.0,0.0,Hispanic
Direct,Explicit,F,Middle-Eastern,v1,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,OLMo-2-0325-32B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,OLMo-2-0325-32B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,OLMo-2-1124-7B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v1,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v2,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v2,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,F,Middle-Eastern,v2,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
